# x(m)   T(K)   T(C)
   0.125000E-05   0.363139E+03   0.899893E+02
   0.375000E-05   0.363139E+03   0.899893E+02
   0.625000E-05   0.363139E+03   0.899893E+02
   0.875000E-05   0.363139E+03   0.899893E+02
   0.112500E-04   0.363139E+03   0.899893E+02
   0.137500E-04   0.363139E+03   0.899893E+02
   0.162500E-04   0.363139E+03   0.899893E+02
   0.187500E-04   0.363139E+03   0.899893E+02
   0.212500E-04   0.363140E+03   0.899897E+02
   0.237500E-04   0.363140E+03   0.899905E+02
   0.262500E-04   0.363141E+03   0.899913E+02
   0.287500E-04   0.363142E+03   0.899921E+02
   0.312500E-04   0.363143E+03   0.899929E+02
   0.337500E-04   0.363144E+03   0.899936E+02
   0.362500E-04   0.363144E+03   0.899944E+02
   0.387500E-04   0.363145E+03   0.899952E+02
   0.412500E-04   0.363146E+03   0.899960E+02
   0.437500E-04   0.363147E+03   0.899968E+02
   0.462500E-04   0.363148E+03   0.899976E+02
   0.487500E-04   0.363148E+03   0.899984E+02
   0.512500E-04   0.363149E+03   0.899992E+02
   0.537500E-04   0.363150E+03   0.900000E+02
   0.562500E-04   0.363151E+03   0.900008E+02
   0.587500E-04   0.363152E+03   0.900016E+02
   0.612500E-04   0.363152E+03   0.900023E+02
   0.637500E-04   0.363153E+03   0.900031E+02
   0.662500E-04   0.363154E+03   0.900039E+02
   0.687500E-04   0.363155E+03   0.900047E+02
   0.712500E-04   0.363156E+03   0.900055E+02
   0.737500E-04   0.363156E+03   0.900063E+02
   0.762500E-04   0.363157E+03   0.900071E+02
   0.787500E-04   0.363158E+03   0.900079E+02
   0.812500E-04   0.363159E+03   0.900087E+02
   0.837500E-04   0.363159E+03   0.900095E+02
   0.862500E-04   0.363160E+03   0.900103E+02
   0.887500E-04   0.363161E+03   0.900110E+02
   0.912500E-04   0.363162E+03   0.900118E+02
   0.937500E-04   0.363163E+03   0.900126E+02
   0.962500E-04   0.363163E+03   0.900134E+02
   0.987500E-04   0.363164E+03   0.900142E+02
   0.101250E-03   0.363165E+03   0.900150E+02
   0.103750E-03   0.363166E+03   0.900158E+02
   0.106250E-03   0.363167E+03   0.900166E+02
   0.108750E-03   0.363167E+03   0.900174E+02
   0.111250E-03   0.363168E+03   0.900182E+02
   0.113750E-03   0.363169E+03   0.900190E+02
   0.116250E-03   0.363170E+03   0.900197E+02
   0.118750E-03   0.363171E+03   0.900205E+02
   0.121250E-03   0.363173E+03   0.900228E+02
   0.123750E-03   0.363177E+03   0.900266E+02
   0.126250E-03   0.363180E+03   0.900304E+02
   0.128750E-03   0.363184E+03   0.900342E+02
   0.131250E-03   0.363188E+03   0.900380E+02
   0.133750E-03   0.363192E+03   0.900417E+02
   0.136250E-03   0.363196E+03   0.900455E+02
   0.138750E-03   0.363199E+03   0.900493E+02
   0.141250E-03   0.363203E+03   0.900531E+02
   0.143750E-03   0.363207E+03   0.900569E+02
   0.146250E-03   0.363209E+03   0.900589E+02
   0.148750E-03   0.363209E+03   0.900591E+02
   0.151250E-03   0.363209E+03   0.900594E+02
   0.153750E-03   0.363210E+03   0.900596E+02
   0.156250E-03   0.363210E+03   0.900599E+02
   0.158750E-03   0.363210E+03   0.900601E+02
   0.161250E-03   0.363210E+03   0.900604E+02
   0.163750E-03   0.363211E+03   0.900606E+02
   0.166250E-03   0.363211E+03   0.900609E+02
   0.168750E-03   0.363211E+03   0.900611E+02
   0.171250E-03   0.363211E+03   0.900614E+02
   0.173750E-03   0.363212E+03   0.900616E+02
   0.176250E-03   0.363212E+03   0.900619E+02
   0.178750E-03   0.363212E+03   0.900621E+02
   0.181250E-03   0.363212E+03   0.900624E+02
   0.183750E-03   0.363213E+03   0.900626E+02
   0.186250E-03   0.363213E+03   0.900629E+02
   0.188750E-03   0.363213E+03   0.900631E+02
   0.191250E-03   0.363213E+03   0.900634E+02
   0.193750E-03   0.363214E+03   0.900636E+02
   0.196250E-03   0.363214E+03   0.900639E+02
   0.198750E-03   0.363214E+03   0.900641E+02
   0.201250E-03   0.363214E+03   0.900644E+02
   0.203750E-03   0.363215E+03   0.900646E+02
   0.206250E-03   0.363215E+03   0.900649E+02
   0.208750E-03   0.363215E+03   0.900651E+02
   0.211250E-03   0.363215E+03   0.900654E+02
   0.213750E-03   0.363216E+03   0.900656E+02
   0.216250E-03   0.363216E+03   0.900659E+02
   0.218750E-03   0.363216E+03   0.900661E+02
   0.221250E-03   0.363216E+03   0.900664E+02
   0.223750E-03   0.363217E+03   0.900666E+02
   0.226250E-03   0.363217E+03   0.900669E+02
   0.228750E-03   0.363217E+03   0.900671E+02
   0.231250E-03   0.363217E+03   0.900674E+02
   0.233750E-03   0.363218E+03   0.900676E+02
   0.236250E-03   0.363218E+03   0.900678E+02
   0.238750E-03   0.363218E+03   0.900678E+02
   0.241250E-03   0.363218E+03   0.900678E+02
   0.243750E-03   0.363218E+03   0.900678E+02
   0.246250E-03   0.363218E+03   0.900678E+02
   0.248750E-03   0.363218E+03   0.900678E+02
